"","x"
"709","1171178965882552320"
"710","1171178961570844674"
"711","1171178834407899138"
"712","1171178654589698048"
"713","1171178515598733312"
"714","1171178171267522566"
"715","1171178005856698369"
"716","1171177889276092420"
"717","1171177879926951937"
"718","1171177608727400453"
"719","1171177356444221440"
"720","1171177312097832961"
"721","1171176414227378178"
"722","1171176389141286912"
"723","1171175382520913926"
"724","1171175302044758017"
"725","1171175187577999361"
"726","1171174640863068166"
"727","1171173823145795586"
"728","1171173703968837634"
"729","1171172427314995200"
"730","1171173663430848512"
"731","1171173536028921857"
"732","1171173027729629185"
"733","1171172923916210176"
"734","1171172875182759936"
"735","1171172685981868041"
"736","1171172526027870208"
"737","1171172512564207620"
"738","1171172143482265602"
"739","1171172010187284480"
"740","1171171813390508033"
"741","1171171776551952384"
"742","1171171725473701888"
"743","1171171700744044544"
"744","1171167899416969216"
"745","1171168606526349312"
"746","1171171543293972480"
"747","1171171065327947776"
"748","1171170962982821894"
"749","1171170422697713667"
"750","1171170207630540801"
"751","1171170092677246978"
"752","1171169223458074624"
"753","1171169007082323969"
"754","1171168996802158593"
"755","1171168986429566976"
"756","1171168899422990338"
"757","1171165221349724161"
"758","1171168792837349376"
"759","1171168542986833920"
"760","1171168427211448321"
"761","1171168208348430336"
"762","1171168066086084609"
"763","1171167379788894209"
"764","1171167282556559360"
"765","1171167129468657665"
"766","1171167120736038912"
"767","1171165795331825666"
"768","1171167047386112004"
"769","1171166902909116416"
"770","1171166336686403588"
"771","1171166332685099009"
"772","1171165685793349632"
"773","1171165494092677122"
"774","1171165293311344644"
"775","1171165170334339074"
"776","1171165080353943552"
"777","1171164940998193158"
"778","1171164624886128640"
"779","1171164534880591872"
"780","1171164389556330498"
"781","1171164280483397637"
"782","1171163291781087234"
"783","1171163045323837441"
"784","1171163028794085377"
"785","1171162013374005248"
"786","1171161962803277825"
"787","1171161697312235522"
"788","1171161028719185921"
"789","1171160959840399360"
"790","1171160721817837568"
"791","1171160631686434818"
"792","1171160576002875393"
"793","1170894297618636802"
"794","1171065563533258752"
"795","1171160127329755142"
"796","1171159108289875968"
"797","1171159082671251456"
"798","1171158891134107648"
"799","1171158695679528966"
"800","1171158684203999233"
"801","1171158102487523328"
"802","1171158074025041921"
"803","1171158026415423489"
"804","1171157883750367232"
"805","1171056497025060866"
"806","1171157792406810625"
"807","1171142246512640001"
"808","1171142342780305409"
"809","1171141989066256384"
"810","1171157588484005889"
"811","1171149264099119109"
"812","1171157437421883394"
"813","1171157360833904642"
"814","1171157012622827521"
"815","1171156965646639104"
"816","1171156893622054914"
"817","1171156828534857729"
"818","1171156324278841347"
"819","1171119922832957446"
"820","1171156691032915970"
"821","1171156538142027778"
"822","1171156220524355584"
"823","1171155868475383809"
"824","1170856118798737408"
"825","1171149596468363264"
"826","1171079138553282560"
"827","1171010094840066049"
"828","1171137394894168065"
"829","1171155382007402497"
"830","1170904615963041794"
"831","1171063211971338240"
"832","1170867247230967810"
"833","1170890656358850561"
"834","1171138951270322177"
"835","1171154939781033986"
"836","1171058089606488064"
"837","1170846479726141441"
"838","1171154443628371968"
"839","1171138168156033027"
"840","1171077297320972294"
"841","1171137480063688704"
"842","1171155347886792705"
"843","1171154770129772544"
"844","1171154974123991040"
"845","1171154718565044225"
"846","1170862893488922624"
"847","1171154350670000128"
"848","1171154291324792833"
"849","1171154210332839937"
"850","1171154191869521920"
"851","1171153689861611522"
"852","1171153639395811328"
"853","1171153345245077504"
"854","1171119860677521414"
"855","1171153153703796736"
"856","1171117390404493312"
"857","1171128067743502336"
"858","1171127483363708934"
"859","1171125304477327361"
"860","1171123182876680196"
"861","1171152934664585216"
"862","1171152694767022080"
"863","1171137715850506240"
"864","1171152558234263554"
"865","1171152495231623168"
"866","1170974169330323457"
"867","1170850244906639366"
"868","1171152343439675392"
"869","1171145991724122123"
"870","1171152298770350080"
"871","1171151708568915969"
"872","1171093818352881664"
"873","1171151427391148032"
"874","1171151140957904899"
"875","1171150902893391872"
"876","1171150709020069894"
"877","1171150615239626752"
"878","1171150119951118336"
"879","1171149873720246273"
"880","1171149231282937856"
"881","1171149064815239169"
"882","1171149024151396352"
"883","1171148998197092360"
"884","1171148772656762882"
"885","1171148481509187584"
"886","1171039238424539136"
"887","1171148301737086982"
"888","1171022501440307200"
"889","1171147980424056833"
"890","1171147667965194240"
"891","1171147525895729152"
"892","1171146002344157184"
"893","1171147190993113099"
"894","1171052867844804613"
"895","1171147022059089921"
"896","1171146807314984961"
"897","1171145970790408192"
"898","1171145961311232001"
"899","1171145960354983937"
"900","1171145892008747008"
"901","1171145715986436096"
"902","1171145515637121024"
"903","1171145169741238278"
"904","1171123003968696320"
"905","1171118297284337664"
"906","1171131775487225856"
"907","1170995193262288896"
"908","1171144803855347719"
"909","1171144793428299776"
"910","1171144753360134144"
"911","1171037864248918017"
"912","1171144738004701185"
"913","1171144444642562053"
"914","1171144346713960448"
"915","1171144265604521984"
"916","1171144060108771328"
"917","1171143932501213187"
"918","1171006359531347968"
"919","1171143642435768320"
"920","1171143631572520960"
"921","1171143441495003136"
"922","1171143432812806144"
"923","1171143178004684803"
"924","1171128759375880193"
"925","1171143153841246208"
"926","1171142872474800128"
"927","1171142784801288194"
"928","1171142477438320640"
"929","1171141891531956226"
"930","1171141678213816322"
"931","1171141610937167875"
"932","1171140964255223809"
"933","1171007971716997120"
"934","1171139753477103616"
"935","1171139447758446592"
"936","1171139346168209409"
"937","1171139094107344896"
"938","1171138829371285507"
"939","1171138553557991430"
"940","1171136774246215680"
"941","1171137489207275521"
"942","1171136483819958272"
"943","1171136621930078208"
"944","1171136880861241351"
"945","1171136707439333377"
"946","1171137263780225024"
"947","1171136681724059654"
"948","1171133732444655616"
"949","1171135845606273025"
"950","1171134091611254790"
"951","1171133477938315265"
"952","1171132864345378820"
"953","1171132358533296130"
"954","1170859933430165505"
"955","1171112124116086787"
"956","1171131401346977794"
"957","1171130964875104256"
"958","1171130663040217088"
"959","1171130092224954369"
"960","1171129813677105153"
"961","1171129595317366784"
"962","1171129159285911558"
"963","1171129062561071106"
"964","1171065544394596352"
"965","1171112267074736128"
"966","1171066651141390336"
"967","1171128992063209478"
"968","1171128973549539331"
"969","1170950207661584384"
"970","1171128706414178304"
"971","1171127872184078336"
"972","1171001862243454976"
"973","1171127527676493824"
"974","1171127357803040768"
"975","1171125839607541760"
"976","1171125801506541568"
"977","1171123265592541185"
"978","1171067829329846277"
"979","1171067565176709120"
"980","1171122223916244993"
"981","1171121979086245888"
"982","1171121351693950977"
"983","1171120672321495041"
"984","1170923096447963137"
"985","1171120180241453056"
"986","1170952626524971008"
"987","1170924716787257344"
"988","1171119798211751937"
"989","1170971173544497157"
"990","1171119043413258240"
"991","1171089753875386369"
"992","1171118740060160008"
"993","1171118251004370948"
"994","1171117766100865025"
"995","1171117739273932800"
"996","1171116770779959300"
"997","1171116226011176961"
"998","1171115576653230083"
"999","1171114998548054016"
"1000","1171114872660287489"
"1001","1171114507617341452"
"1002","1171114453657673728"
"1003","1171114132428460032"
"1004","1171114407172169728"
"1005","1171113968871661568"
"1006","1171113862860627968"
"1007","1171113663207477250"
"1008","1171112526949564416"
"1009","1171111470060453888"
"1010","1171111261754580992"
"1011","1171111212924514311"
"1012","1171111204028391424"
"1013","1171110982011240449"
"1014","1171109596515184650"
"1015","1171110890680266752"
"1016","1171110707858956288"
"1017","1171110644403376128"
"1018","1171110606176493568"
"1019","1171110524962127872"
"1020","1171110483006492672"
"1021","1171110268589498368"
"1022","1171110301124583424"
"1023","1171110474819047424"
"1024","1171110401708351488"
"1025","1171109722403037184"
"1026","1171109634209398784"
"1027","1171109336027992068"
"1028","1171109216100241408"
"1029","1171109139394772992"
"1030","1171109086433284096"
"1031","1171108815011549185"
"1032","1171108651295264768"
"1033","1171107703986565120"
"1034","1170981984736354304"
"1035","1171106925750013952"
"1036","1171106415739580416"
"1037","1171106481254453248"
"1038","1171106147589349388"
"1039","1171105912121102338"
"1040","1171105153036029957"
"1041","1171105130902691841"
"1042","1171104454168518656"
"1043","1171104223309832193"
"1044","1171081305150427141"
"1045","1171081186879397894"
"1046","1171103523980943360"
"1047","1170898124212244481"
"1048","1171086759519764481"
"1049","1171065088138199042"
"1050","1170896818827382785"
"1051","1170895756271783936"
"1052","1170896610680889344"
"1053","1171068299179900929"
"1054","1171077938499989504"
"1055","1170842425012756486"
"1056","1170842047412154368"
"1057","1171021113545113601"
"1058","1171068700709072897"
"1059","1170885899489595393"
"1060","1170896668306419712"
"1061","1170898732176556032"
"1062","1171104114551529476"
"1063","1170885462967365632"
"1064","1171076279824715776"
"1065","1170895297620434944"
"1066","1171077313422942208"
"1067","1171064960337793024"
"1068","1170841860195213314"
"1069","1171103876617003009"
"1070","1171103415579095050"
"1071","1171103076721315840"
"1072","1171102270664187907"
"1073","1171102064589586432"
"1074","1171101955667746816"
"1075","1171101869499912193"
"1076","1171101762985574410"
"1077","1171101460404297729"
"1078","1171100977971236864"
"1079","1171099851351871488"
"1080","1171099379773710336"
"1081","1171098912301752321"
"1082","1171098872179023872"
"1083","1171098521967235072"
"1084","1171097871468453893"
"1085","1171096405345263616"
"1086","1171096297782370305"
"1087","1171096151136751616"
"1088","1171095368802668547"
"1089","1171094473046204416"
"1090","1171094315696889858"
"1091","1171094091318398976"
"1092","1171093957390082049"
"1093","1171093942470942720"
"1094","1171093920765349888"
"1095","1171093774681948161"
"1096","1171092847359156224"
"1097","1171033866708094977"
"1098","1171092589753372672"
"1099","1171092684083216384"
"1100","1171092543725088770"
"1101","1171092145119354880"
"1102","1171091771780153344"
"1103","1171091167930400768"
"1104","1171090824182063104"
"1105","1171090342990503936"
"1106","1171089889099735041"
"1107","1171089561046474753"
"1108","1171089524618858504"
"1109","1171089459368124416"
"1110","1171089418461036544"
"1111","1171089403923578882"
"1112","1171089190165065728"
"1113","1171088534406598656"
"1114","1171087920029143042"
"1115","1171087901318438912"
"1116","1171053942324813825"
"1117","1171086418732560389"
"1118","1171086341507076099"
"1119","1171086280588967936"
"1120","1171085490579279873"
"1121","1171085480135409665"
"1122","1171085183635922944"
"1123","1171085196936003585"
"1124","1171083575560724480"
"1125","1171083171439554561"
"1126","1171082713631264769"
"1127","1171081730465439750"
"1128","1170944069742317568"
"1129","1170930577459032065"
"1130","1171080025057239040"
"1131","1170927993935532037"
"1132","1171080992070819841"
"1133","1171080935250550785"
"1134","1171079998033129477"
"1135","1171079836577730562"
"1136","1171079253707960323"
"1137","1171078333855088640"
"1138","1171078238166237187"
"1139","1171077664196759552"
"1140","1171077111047708673"
"1141","1171076869946531841"
"1142","1171076017387126785"
"1143","1171075510245478401"
"1144","1171075444139077632"
"1145","1171075294461157377"
"1146","1171075251003953152"
"1147","1171075155931648001"
"1148","1171074579617460224"
"1149","1171073512485851143"
"1150","1171072965347368960"
"1151","1171072788343468038"
